Time[ps]     GFree[eV]    Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
3.5400       -6885.4639  -6891.1372   -6909.4561      18.3186  2214.4
3.5500       -6885.4409  -6891.6045   -6909.0894      17.4848  2113.6
3.5600       -6885.4194  -6892.4131   -6908.6016      16.1887  1956.9
3.5700       -6885.4380  -6893.1206   -6907.7402      14.6196  1767.2
3.5800       -6885.4731  -6893.3730   -6908.0117      14.6386  1769.5
3.5900       -6885.4990  -6893.1440   -6907.7632      14.6192  1767.2
3.6000       -6885.5127  -6892.4609   -6908.6465      16.1858  1956.5
3.6100       -6885.4897  -6891.6650   -6909.8677      18.2025  2200.3
3.6200       -6885.4692  -6891.4614   -6909.8374      18.3762  2221.3
3.6300       -6885.4375  -6891.9028   -6908.8906      16.9878  2053.5
3.6400       -6885.4243  -6892.5479   -6908.4927      15.9450  1927.4
3.6500       -6885.4375  -6893.0967   -6908.5732      15.4765  1870.8
3.6600       -6885.4731  -6893.3862   -6908.0225      14.6362  1769.2
3.6700       -6885.4907  -6893.2012   -6907.7930      14.5916  1763.8
3.6800       -6885.5078  -6892.5410   -6907.9858      15.4446  1867.0
3.6900       -6885.5161  -6891.5972   -6908.8340      17.2369  2083.6
3.7000       -6885.4854  -6890.8350   -6908.1963      17.3611  2098.6
3.7100       -6885.4771  -6890.4248   -6906.7183      16.2936  1969.6
3.7200       -6885.4888  -6890.1216   -6907.6807      17.5589  2122.5
3.7300       -6885.4448  -6890.1519   -6907.8496      17.6977  2139.3
3.7400       -6885.4370  -6890.6089   -6906.6133      16.0046  1934.6
3.7500       -6885.4551  -6890.9634   -6905.8428      14.8794  1798.6
3.7600       -6885.4766  -6890.9146   -6905.7021      14.7874  1787.5
3.7700       -6885.4951  -6890.4731   -6906.8179      16.3449  1975.8
3.7800       -6885.4824  -6889.9653   -6906.7319      16.7664  2026.7
3.7900       -6885.4839  -6889.6138   -6906.1880      16.5743  2003.5
3.8000       -6885.4712  -6889.3516   -6906.1597      16.8080  2031.8
3.8100       -6885.4644  -6889.2588   -6905.9922      16.7333  2022.7
